Date,ts
2016-10-26,98
2016-10-27,110
2016-10-28,130
2016-10-29,252
2016-10-30,238
2016-10-31,190
2016-11-01,213
2016-11-02,201
2016-11-03,183
2016-11-04,166
2016-11-05,178
2016-11-06,169
2016-11-07,115
2016-11-08,156
2016-11-09,129
2016-11-10,148
2016-11-11,156
2016-11-12,169
2016-11-13,136
2016-11-14,90
2016-11-15,100
2016-11-16,119
2016-11-17,162
2016-11-18,175
2016-11-19,234
2016-11-20,192
2016-11-21,121
2016-11-22,131
2016-11-23,142
2016-11-24,127
2016-11-25,155
2016-11-26,218
2016-11-27,279
2016-11-28,241
2016-11-29,266
2016-11-30,257
2016-12-01,256
2016-12-02,286
2016-12-03,328
2016-12-04,311
2016-12-05,223
2016-12-06,266
2016-12-07,262
2016-12-08,241
2016-12-09,228
2016-12-10,285
2016-12-11,203
2016-12-12,134
2016-12-13,164
2016-12-14,147
2016-12-15,159
2016-12-16,171
2016-12-17,223
2016-12-18,187
2016-12-19,154
2016-12-20,153
2016-12-21,198
2016-12-22,227
2016-12-23,270
2016-12-24,301
2016-12-25,960
2016-12-26,743
2016-12-27,471
2016-12-28,425
2016-12-29,470
2016-12-30,525
2016-12-31,528
2017-01-01,312
2017-01-02,348
2017-01-03,241
2017-01-04,284
2017-01-05,318
2017-01-06,308
2017-01-07,375
2017-01-08,285
2017-01-09,153
2017-01-10,155
2017-01-11,159
2017-01-12,171
2017-01-13,175
2017-01-14,263
2017-01-15,251
2017-01-16,235
2017-01-17,185
2017-01-18,187
2017-01-19,187
2017-01-20,183
2017-01-21,253
2017-01-22,212
2017-01-23,121
2017-01-24,141
2017-01-25,145
2017-01-26,162
2017-01-27,205
2017-01-28,241
2017-01-29,186
2017-01-30,121
2017-01-31,120
2017-02-01,129
2017-02-02,129
2017-02-03,237
2017-02-04,357
2017-02-05,234
2017-02-06,124
2017-02-07,148
2017-02-08,150
2017-02-09,143
2017-02-10,130
2017-02-11,196
2017-02-12,170
2017-02-13,97
2017-02-14,114
2017-02-15,107
2017-02-16,100
2017-02-17,108
2017-02-18,168
2017-02-19,156
2017-02-20,121
2017-02-21,100
2017-02-22,123
2017-02-23,116
2017-02-24,113
2017-02-25,156
2017-02-26,140
2017-02-27,77
2017-02-28,96
2017-03-01,104
2017-03-02,102
2017-03-03,104
2017-03-04,151
2017-03-05,121
2017-03-06,88
2017-03-07,87
2017-03-08,67
2017-03-09,74
2017-03-10,76
2017-03-11,123
2017-03-12,137
2017-03-13,76
2017-03-14,78
2017-03-15,71
2017-03-16,68
2017-03-17,100
2017-03-18,119
2017-03-19,112
2017-03-20,79
2017-03-21,70
2017-03-22,74
2017-03-23,76
